year,violation,count,,year,violation,count,,year,violation,count,,year,violation,count,,year,violation,count,
2011,Speeding,62156,,2011,Safe movement,3776,,2011,DUI,1148,,2011,Cell phone,38,,2011,Moving violation,348,
2012,Speeding,59528,-4.23%,2012,Safe movement,3717,-1.56%,2012,DUI,1158,0.87%,2012,Cell phone,98,157.89%,2012,Moving violation,23,-93.39%
NA,Speeding,21,,NA,Safe movement,1,,,,,,,,,,,,,
,Subtotal,121705,,,Subtotal,7494,,,Subtotal,2306,,,Subtotal,136,,,Subtotal,371,
