"violation","nrow"
"Speeding",3333374
"Safe movement",1757357
"Paperwork",1253171
"Registration/plates",604604
"Equipment",412546
"Seat belt",363084
"Other",314906
"License",160979
"DUI",136985
"Cell phone",125124
"Moving violation",109765
"Stop sign/light",92839
"Lights",71063
"Truck",65357
"Other (non-mapped)",635
