"violation","nrow"
"Speeding",101602
"Other",89347
"Registration/plates",38654
"Moving violation",28489
"Cell phone",20224
"Lights",12313
"Seat belt",12210
"Stop sign/light",7152
"Safe movement",5047
"License",3049
"Equipment",3024
