"violation","nrow"
"Speeding",121705
"Seat belt",16747
"Paperwork",11324
"Safe movement",7494
"License",7342
"Other",5923
"Registration/plates",5180
"Truck",4103
"Other (non-mapped)",3783
"Equipment",3543
"Stop sign/light",2380
"DUI",2306
"Lights",828
"Moving violation",371
"Cell phone",136
