"violation","nrow"
"Speeding",968124
"Safe movement",420260
"Registration/plates",235712
"Lights",199987
"Other",184832
"Paperwork",153732
"Other (non-mapped)",125132
"Seat belt",122253
"License",117586
"Equipment",93341
"Truck",53872
"DUI",36010
"Stop sign/light",22211
"Moving violation",3788
"Cell phone",2447
